pref_id;pref_name;year;month;year_month;date;n_m;n_f;n_total;ln_ratio_mf;;u_rate;n_ei_insured;n_care_need_2to5;n_ltc_facility_users;share_75plus;z_u_rate;z_ln_ei;z_ln_need;z_ln_fac;z_oldshare75;moy;t_index;ln_ei;ln_need;ln_fac
7;Fukushima;2014;2;201402;2014-02-01;3;11;14;-1.18958406687384;;3.4;532481;58809;17044;0.147;1.05018644130883;-0.0317654197389081;0.111616273347457;0.114242883141147;-0.0157924148874103;2;0;13.185302495178;10.9820501833985;9.7435535146198
8;Ibaraki;2014;2;201402;2014-02-01;2;12;14;-1.6094379124341;;3.6;729562;66293;22315;0.117;1.32758026072023;0.342096605038748;0.293195457502546;0.54812498072527;-1.46407241431824;2;0;13.5001996330525;11.1018395899061;10.0130143770634
9;Tochigi;2014;2;201402;2014-02-01;1;2;3;-0.510825623765991;;3.3;526336;44448;12634;0.117;0.911489531603137;-0.0455463486939932;-0.312775350919059;-0.367857490127681;-1.46407241431824;2;0;13.1736950710546;10.7020752455541;9.44414687145865
10;Gunma;2014;2;201402;2014-02-01;2;4;6;-0.587786664902119;;3.4;556513;49364;15273;0.127;1.05018644130883;0.0206437862120608;-0.153763634259494;-0.0624133108848251;-0.981312414507964;2;0;13.2294458097124;10.8069766925731;9.63384184257045
11;Saitama;2014;2;201402;2014-02-01;5;14;19;-0.969400557188104;;3.7;1347383;131790;38870;0.097;1.46627717042593;1.07044571332731;1.33475396981149;1.44171965330792;-2.4295924139388;2;0;14.1136747505373;11.7889650256379;10.5679780238463
12;Chiba;2014;2;201402;2014-02-01;1;23;24;-2.75153531304195;;3.2;1071334;123273;33412;0.106;0.77279262189744;0.798256973499704;1.23348455070833;1.19808623504832;-1.99510841410955;2;0;13.8844151588888;11.722156687071;10.4166703958758
13;Tokyo;2014;2;201402;2014-02-01;44;128;172;-1.06043971516308;;3.7;8960366;277144;68254;0.105;1.46627717042593;3.31986761740397;2.4615046677444;2.34827575730889;-2.04338441409057;2;0;16.0083216323311;12.532292505687;11.1309913193884
14;Kanagawa;2014;2;201402;2014-02-01;9;21;30;-0.816761136527122;;3.6;1976436;185587;49090;0.101;1.32758026072023;1.52531851295826;1.85364043704284;1.81758955368976;-2.23648841401468;2;0;14.4968057807241;12.1312790537777;10.8014106270521
15;Niigata;2014;2;201402;2014-02-01;2;19;21;-2.05412373369555;;3.6;698238;74825;24959;0.152;1.32758026072023;0.289994872612563;0.476712369462697;0.728426166340806;0.225587585017729;2;0;13.456315297838;11.2229073327209;10.1249897575782
16;Toyama;2014;2;201402;2014-02-01;3;5;8;-0.451985123743057;;2.9;348608;33657;11749;0.145;0.356701892780346;-0.534684027264869;-0.73432325204993;-0.484794768860389;-0.112344414849466;2;0;12.7617033607433;10.4239763372131;9.37152340956757
17;Ishikawa;2014;2;201402;2014-02-01;0;2;2;-1.6094379124341;;3.1;350442;30715;10891;0.129;0.634095712191742;-0.528454361825079;-0.872975196232482;-0.606897376984376;-0.884760414545909;2;0;12.7669504938751;10.332506413598;9.29569203907569
18;Fukui;2014;2;201402;2014-02-01;3;4;7;-0.251314428280906;;2.5;239694;22782;8106;0.145;-0.198085746042444;-0.979410508425509;-1.32587249303915;-1.08243719042335;-0.112344414849466;2;0;12.3871183888201;10.0337260294599;9.00035980718825
19;Yamanashi;2014;2;201402;2014-02-01;1;8;9;-1.73460105538811;;2.9;199864;23223;6522;0.138;0.356701892780346;-1.19516490135287;-1.29681055983449;-1.43252937842619;-0.450276414716659;2;0;12.2053924142253;10.0528984458728;8.78293635634926
20;Nagano;2014;2;201402;2014-02-01;4;7;11;-0.510825623765991;;3.3;583615;60518;19319;0.151;0.911489531603137;0.0770987569375016;0.155038359048576;0.315984421750607;0.177311585036701;2;0;13.2769967978364;11.0106961204296;9.86884434659255
21;Gifu;2014;2;201402;2014-02-01;3;9;12;-0.998528830111127;;2.8;546481;51425;15594;0.129;0.218004983074649;-0.000953490140607181;-0.0917620134872836;-0.0289219882799236;-0.884760414545909;2;0;13.2112548192972;10.8478797145212;9.65464150386955
22;Shizuoka;2014;2;201402;2014-02-01;4;11;15;-0.93826963859293;;2.8;1090969;83482;28715;0.127;0.218004983074649;0.819819464350446;0.642662811515531;0.954150335938046;-0.981312414507964;2;0;13.9025768501127;11.3323863187384;10.2651749132984
23;Aichi;2014;2;201402;2014-02-01;9;24;33;-0.947381318944186;;2.8;2609357;138125;39209;0.101;0.218004983074649;1.85514713386823;1.40592069891191;1.45570181164872;-2.23648841401468;2;0;14.774614388794;11.8359143512542;10.5766615912631
24;Mie;2014;2;201402;2014-02-01;0;6;6;-2.56494935746154;;2.2;457887;50326;14836;0.131;-0.614176475159537;-0.210951064272255;-0.124507657649904;-0.109156854674553;-0.788208414583853;2;0;13.0343777077639;10.8262771211501;9.60481193860948
25;Shiga;2014;2;201402;2014-02-01;1;3;4;-0.847297860387204;;3.1;352923;30812;8016;0.109;0.634095712191742;-0.520078674661628;-0.868195679380941;-1.10041489068864;-1.85028041416646;2;0;12.7740051818099;10.3356595034729;8.98919482332465
26;Kyoto;2014;2;201402;2014-02-01;7;17;24;-0.847297860387204;;3.9;701248;73576;20715;0.123;1.74367098983732;0.29510193593897;0.451196315694481;0.428325498772789;-1.17441641443208;2;0;13.4606168837651;11.2060741645825;9.9386133545115
27;Osaka;2014;2;201402;2014-02-01;15;41;56;-0.984853403311452;;4.9;3305838;224098;48828;0.111;3.1306400868943;2.136034357821;2.13946298269625;1.80897275742335;-1.75372841420441;2;0;15.0112005543476;12.319838735162;10.7960591977897
28;Hyogo;2014;2;201402;2014-02-01;8;22;30;-0.973449145714104;;3.9;1295328;126978;37490;0.121;1.74367098983732;1.02366771954063;1.27837167343548;1.38351382338849;-1.27096841439413;2;0;14.0742745028986;11.7517691220885;10.53182950973
29;Nara;2014;2;201402;2014-02-01;1;4;5;-1.09861228866811;;3.4;220399;33997;10198;0.125;1.05018644130883;-1.07904887266806;-0.71908740033644;-0.712759274288031;-1.07786441447002;2;0;12.3031948190455;10.4340275644112;9.2299469016151
30;Wakayama;2014;2;201402;2014-02-01;2;4;6;-0.587786664902119;;3.1;226674;33244;9407;0.152;0.634095712191742;-1.04571878582655;-0.753038716196921;-0.842761710996874;0.225587585017729;2;0;12.331268140902;10.4116295786729;9.14920937197195
31;Tottori;2014;2;201402;2014-02-01;2;3;5;-0.336472236621213;;2.7;152587;18890;6199;0.156;0.0793080733689514;-1.515606641238;-1.60984329409306;-1.51431569665153;0.41869158494184;2;0;11.9354902041643;9.84638796049556;8.73214326770192
32;Shimane;2014;2;201402;2014-02-01;1;4;5;-1.09861228866811;;2.9;197553;24488;7969;0.177;0.356701892780346;-1.20897290954897;-1.21641141170703;-1.10988363741664;1.43248758454342;2;0;12.1937621817531;10.1059384806252;8.98331429339775
33;Okayama;2014;2;201402;2014-02-01;2;17;19;-1.94591014905531;;3.6;547904;57070;16103;0.139;1.32758026072023;0.00213401471358213;0.0661169338663378;0.0227961625391;-0.402000414735631;2;0;13.2138553681022;10.9520338635308;9.686760869018
34;Hiroshima;2014;2;201402;2014-02-01;4;12;16;-1.02165124753198;;3.2;932823;72922;21681;0.13;0.77279262189744;0.633888675587853;0.437662302965901;0.501714917475596;-0.836484414564881;2;0;13.7459707512212;11.1971456557341;9.98419157995109
35;Yamaguchi;2014;2;201402;2014-02-01;0;2;2;-1.6094379124341;;2.8;375358;41940;13427;0.157;0.218004983074649;-0.446907982276658;-0.400814090135226;-0.269835789291334;0.466967584922867;2;0;12.8356355162148;10.6439953044559;9.50502288407271
36;Tokushima;2014;2;201402;2014-02-01;0;0;0;0 ;;4.1;189697;25099;8449;0.157;2.02106480924872;-1.25715018907922;-1.17905432509642;-1.01570534718878;0.466967584922867;2;0;12.1531833413542;10.1305832836888;9.04180337015285
37;Kagawa;2014;2;201402;2014-02-01;2;6;8;-0.955511445027436;;3.1;302562;28783;9028;0.146;0.634095712191742;-0.702872257375453;-0.971452264055222;-0.908977765085541;-0.0640684148684381;2;0;12.6200414941296;10.2675402140637;9.10808613793743
38;Ehime;2014;2;201402;2014-02-01;1;4;5;-1.09861228866811;;3.6;377833;44228;12023;0.152;1.32758026072023;-0.439105293574013;-0.320296689165912;-0.44767458608411;0.225587585017729;2;0;12.842207578038;10.6971133516623;9.39457676097491
39;Kochi;2014;2;201402;2014-02-01;0;5;5;-2.39789527279837;;3.3;189446;25069;8100;0.169;0.911489531603137;-1.25872215591307;-1.18086721805284;-1.08362947923044;1.0462795846952;2;0;12.1518593024735;10.1293873020441;8.99961934066053
40;Fukuoka;2014;2;201402;2014-02-01;4;15;19;-1.23676262714893;;4.8;1554108;114822;35550;0.119;2.9919431771886;1.23991105586553;1.12583358017796;1.297958082612;-1.36752041435619;2;0;14.2564123055643;11.6511383821381;10.4786954352314
41;Saga;2014;2;201402;2014-02-01;0;1;1;-1.09861228866811;;3.7;223226;20581;7081;0.142;1.46627717042593;-1.06391715215993;-1.47988349414342;-1.30011724422977;-0.257172414792549;2;0;12.3159399901604;9.93212359907246;8.86517041965177
42;Nagasaki;2014;2;201402;2014-02-01;1;9;10;-1.84582669049833;;3.8;346568;40810;12114;0.151;1.60497408013163;-0.541652045520797;-0.442215495282642;-0.435533258110726;0.177311585036701;2;0;12.7558343265542;10.6166824283999;9.40211708754089
43;Kumamoto;2014;2;201402;2014-02-01;0;4;4;-2.19722457733622;;4.1;450721;52737;16534;0.15;2.02106480924872;-0.229678654080043;-0.0535741697486027;0.0653264500019844;0.129035585055673;2;0;13.0186038017801;10.873072575468;9.71317414581262
44;Oita;2014;2;201402;2014-02-01;0;2;2;-1.6094379124341;;3.6;314832;33030;10440;0.153;1.32758026072023;-0.655675519553645;-0.762827973465345;-0.67499564765356;0.273863584998756;2;0;12.6597944422016;10.4051715183848;9.25339986143663
45;Miyazaki;2014;2;201402;2014-02-01;0;8;8;-2.83321334405622;;3.3;278763;30931;9332;0.15;0.911489531603137;-0.800136934631581;-0.862352658818386;-0.85565082907863;0.129035585055673;2;0;12.5381172374403;10.3395141962266;9.14120463314132
46;Kagoshima;2014;2;201402;2014-02-01;2;15;17;-1.82454929205105;;3.7;432637;51739;16666;0.157;1.46627717042593;-0.278295980194193;-0.0825345898609558;0.0781304058295811;0.466967584922867;2;0;12.977654318201;10.853967128147;9.72112599494215
47;Okinawa;2014;2;201402;2014-02-01;4;17;21;-1.35812348415319;;4.8;363768;30788;8658;0.097;2.9919431771886;-0.484144854246808;-0.869376837921182;-0.976359393987034;-2.4295924139388;2;0;12.8042715807796;10.3348802826542;9.06623902800193
1;Hokkaido;2014;3;201403;2014-03-01;2;22;24;-2.19722457733622;;4.6;1394127;136672;41907;0.136;2.71454935777721;1.11093599202469;1.38989063265447;1.56285415653804;-0.546828414678714;3;0;14.1477789708874;11.8253391736412;10.6432081563957
2;Aomori;2014;3;201403;2014-03-01;1;5;6;-1.29928298413026;;4.8;337406;45229;11454;0.147;2.9919431771886;-0.573460993649481;-0.286372028080394;-0.525740375417276;-0.0157924148874103;3;0;12.7290422319827;10.7194937530079;9.3460942929538
3;Iwate;2014;3;201403;2014-03-01;3;3;6;0 ;;3.1;354061;41998;12938;0.158;0.634095712191742;-0.516256542605963;-0.398719268316998;-0.32957189704005;0.515243584903895;3;0;12.7772244936553;10.6453772770841;9.46792399660393
4;Miyagi;2014;3;201403;2014-03-01;0;15;15;-3.43398720448515;;4;674885;54721;15901;0.122;1.88236789954302;0.249607300032077;0.00240544594769399;0.00246983562528366;-1.2226924144131;3;0;13.4222975849696;10.9100028269833;9.6741372793124
5;Akita;2014;3;201403;2014-03-01;1;4;5;-1.09861228866811;;4.4;278987;41068;11811;0.178;2.43715553836581;-0.799183302010169;-0.432662676033482;-0.476320086347895;1.48076358452445;3;0;12.5389204647358;10.6229845084189;9.37678657961185
6;Yamagata;2014;3;201403;2014-03-01;3;10;13;-1.09861228866811;;3.3;311377;37018;11692;0.166;0.911489531603137;-0.668776560062914;-0.590042614809112;-0.492625559410168;0.901451584752117;3;0;12.6487596756671;10.5191595598167;9.36666012623114
7;Fukushima;2014;3;201403;2014-03-01;1;11;12;-2.03688192726104;;3.4;532134;58864;16988;0.147;1.05018644130883;-0.0325393637524395;0.113033252753402;0.108943723810664;-0.0157924148874103;3;0;13.1846506163067;10.9829849773446;9.74026249143316
8;Ibaraki;2014;3;201403;2014-03-01;2;11;13;-1.52605630349505;;3.6;728509;66537;22216;0.117;1.32758026072023;0.34038176975612;0.298764387837516;0.540965533477056;-1.46407241431824;3;0;13.4987552586935;11.1055134628933;10.0085680289866
9;Tochigi;2014;3;201403;2014-03-01;1;7;8;-1.6094379124341;;3.3;525983;44560;12596;0.117;0.911489531603137;-0.046342874674603;-0.308960594151201;-0.372707835966941;-1.46407241431824;3;0;13.1730241718059;10.7045918746012;9.44113458222091
10;Gunma;2014;3;201403;2014-03-01;1;7;8;-1.6094379124341;;3.4;556875;49583;15336;0.127;1.05018644130883;0.0214158171168123;-0.147053675736103;-0.0557850735199871;-0.981312414507964;3;0;13.2300960772072;10.8114033120281;9.63795828472548
11;Saitama;2014;3;201403;2014-03-01;7;18;25;-0.902867711542014;;3.7;1346275;132220;38944;0.097;1.46627717042593;1.06946899358485;1.33969168579068;1.44478218182437;-2.4295924139388;3;0;14.1128520773825;11.7922224808876;10.5698799957873
12;Chiba;2014;3;201403;2014-03-01;5;21;26;-1.36330484289519;;3.2;1072266;123747;33413;0.106;0.77279262189744;0.7992893659677;1.23930189007786;1.19813442617321;-1.99510841410955;3;0;13.885284724161;11.7259944377128;10.4167003247946
13;Tokyo;2014;3;201403;2014-03-01;37;99;136;-0.975816711188182;;3.7;8959471;278284;68161;0.105;1.46627717042593;3.31974902370453;2.46772703061941;2.34608029027789;-2.04338441409057;3;0;16.0082217430296;12.5363974539461;11.1296278327571
14;Kanagawa;2014;3;201403;2014-03-01;10;31;41;-1.09861228866811;;3.6;1982158;186180;48959;0.101;1.32758026072023;1.5287507701993;1.85847616507657;1.81328691957164;-2.23648841401468;3;0;14.4996967081519;12.1344692266705;10.798738492141
15;Niigata;2014;3;201403;2014-03-01;2;9;11;-1.33500106673234;;3.6;698099;74973;24989;0.152;1.32758026072023;0.289758499980232;0.479707622274989;0.730360401330024;0.225587585017729;3;0;13.4561162054979;11.2248833277029;10.1261910070219
16;Toyama;2014;3;201403;2014-03-01;2;6;8;-0.955511445027436;;2.9;348709;33775;11708;0.145;0.356701892780346;-0.534340102253891;-0.729018146210912;-0.490423595360477;-0.112344414849466;3;0;12.7619930424827;10.4274761628284;9.36802764781178
